000 0.15	 0.15	 0.15	 0.14	 0.14	 0.14	 0.15	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 alley_1/frame_0001.png
001 0.24	 0.24	 0.21	 0.21	 0.21	 0.21	 0.20	 0.21	 0.21	 0.21	 0.21	 0.20	 0.20	 0.21	 0.21	 0.21	 0.20	 0.21	 0.21	 0.21	 0.21	 alley_1/frame_0011.png
002 0.31	 0.31	 0.31	 0.27	 0.27	 0.28	 0.31	 0.27	 0.27	 0.27	 0.27	 0.28	 0.27	 0.27	 0.27	 0.27	 0.27	 0.27	 0.27	 0.27	 0.27	 alley_1/frame_0021.png
003 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 alley_1/frame_0031.png
004 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 alley_1/frame_0041.png
005 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 alley_2/frame_0002.png
006 0.19	 0.19	 0.17	 0.17	 0.17	 0.17	 0.18	 0.17	 0.17	 0.17	 0.17	 0.17	 0.17	 0.17	 0.17	 0.17	 0.18	 0.18	 0.17	 0.17	 0.17	 alley_2/frame_0012.png
007 0.16	 0.16	 0.17	 0.17	 0.17	 0.17	 0.17	 0.17	 0.17	 0.17	 0.21	 0.17	 0.17	 0.17	 0.21	 0.21	 0.17	 0.17	 0.17	 0.21	 0.21	 alley_2/frame_0022.png
008 0.30	 0.26	 0.26	 0.26	 0.26	 0.26	 0.26	 0.26	 0.25	 0.25	 0.27	 0.26	 0.25	 0.25	 0.27	 0.27	 0.26	 0.25	 0.25	 0.27	 0.27	 alley_2/frame_0032.png
009 0.15	 0.15	 0.15	 0.15	 0.15	 0.15	 0.15	 0.15	 0.15	 0.15	 0.15	 0.15	 0.15	 0.15	 0.15	 0.15	 0.15	 0.15	 0.15	 0.15	 0.15	 alley_2/frame_0042.png
010 12.93	 12.88	 12.88	 13.02	 13.03	 13.03	 12.88	 12.99	 12.99	 12.99	 12.88	 12.88	 12.99	 12.99	 12.99	 12.85	 12.99	 12.99	 12.99	 12.85	 12.85	 ambush_2/frame_0003.png
011 50.69	 50.69	 50.60	 49.33	 49.33	 49.33	 50.60	 49.33	 49.33	 49.14	 49.14	 50.60	 49.33	 49.33	 49.14	 49.14	 49.33	 49.33	 49.14	 49.14	 49.14	 ambush_2/frame_0013.png
012 7.92	 7.92	 7.92	 7.92	 7.92	 7.92	 7.92	 7.92	 7.92	 7.92	 7.92	 7.92	 7.92	 7.92	 7.92	 7.92	 7.92	 7.92	 7.92	 7.92	 7.92	 ambush_4/frame_0003.png
013 12.56	 13.02	 11.73	 11.93	 14.51	 14.52	 11.73	 11.93	 14.51	 14.51	 14.52	 11.90	 14.52	 14.52	 14.52	 14.52	 14.52	 14.52	 14.52	 14.52	 14.52	 ambush_4/frame_0013.png
014 5.15	 5.15	 5.29	 5.51	 5.11	 4.83	 5.15	 5.50	 4.83	 4.83	 4.82	 5.51	 4.83	 4.83	 4.83	 4.82	 5.10	 4.82	 4.83	 4.83	 4.82	 ambush_4/frame_0023.png
015 1.38	 1.38	 1.48	 1.49	 1.49	 1.49	 1.49	 1.49	 1.49	 1.49	 1.49	 1.48	 1.49	 1.49	 1.49	 1.49	 1.48	 1.49	 1.49	 1.49	 1.88	 ambush_5/frame_0001.png
